"Game","Date","Round","Home.Team","Home.Goals","Home.Behinds","Home.Points","Away.Team","Away.Goals","Away.Behinds","Away.Points","Venue","Margin","Season","Round.Type","Round.Number"
14818,2016-04-16,"R4","Carlton",7,7,49,"Footscray",13,7,85,"Docklands",-36,2016,"Regular",4
14819,2016-04-16,"R4","Adelaide",16,17,113,"Sydney",15,13,103,"Adelaide Oval",10,2016,"Regular",4
14820,2016-04-17,"R4","GWS",22,19,151,"Port Adelaide",9,11,65,"Manuka Oval",86,2016,"Regular",4
14821,2016-04-17,"R4","Collingwood",9,13,67,"Melbourne",16,6,102,"M.C.G.",-35,2016,"Regular",4
14822,2016-04-17,"R4","North Melbourne",20,12,132,"Fremantle",14,17,101,"Docklands",31,2016,"Regular",4
14823,2016-04-22,"R5","Hawthorn",17,10,112,"Adelaide",17,7,109,"M.C.G.",3,2016,"Regular",5
14824,2016-04-23,"R5","Sydney",12,16,88,"West Coast",7,7,49,"S.C.G.",39,2016,"Regular",5
14825,2016-04-23,"R5","Gold Coast",11,15,81,"North Melbourne",18,11,119,"Carrara",-38,2016,"Regular",5
14826,2016-04-23,"R5","Footscray",17,18,120,"Brisbane Lions",10,7,67,"Docklands",53,2016,"Regular",5
14827,2016-04-23,"R5","Port Adelaide",8,11,59,"Geelong",16,11,107,"Adelaide Oval",-48,2016,"Regular",5
14828,2016-04-24,"R5","St Kilda",12,7,79,"GWS",19,12,126,"Docklands",-47,2016,"Regular",5
14829,2016-04-24,"R5","Fremantle",9,14,68,"Carlton",10,12,72,"Subiaco",-4,2016,"Regular",5
14830,2016-04-24,"R5","Melbourne",20,9,129,"Richmond",14,12,96,"M.C.G.",33,2016,"Regular",5
14831,2016-04-25,"R5","Collingwood",22,10,142,"Essendon",11,7,73,"M.C.G.",69,2016,"Regular",5
14832,2016-04-29,"R6","North Melbourne",9,7,61,"Footscray",6,9,45,"Docklands",16,2016,"Regular",6
14833,2016-04-30,"R6","Melbourne",15,6,96,"St Kilda",20,15,135,"Docklands",-39,2016,"Regular",6
14834,2016-04-30,"R6","Adelaide",14,13,97,"Fremantle",8,16,64,"Adelaide Oval",33,2016,"Regular",6
14835,2016-04-30,"R6","GWS",24,14,158,"Hawthorn",12,11,83,"Sydney Showground",75,2016,"Regular",6
14836,2016-04-30,"R6","Geelong",25,18,168,"Gold Coast",7,6,48,"Kardinia Park",120,2016,"Regular",6
14837,2016-04-30,"R6","Richmond",8,11,59,"Port Adelaide",13,16,94,"M.C.G.",-35,2016,"Regular",6
14838,2016-05-01,"R6","Brisbane Lions",14,10,94,"Sydney",15,7,97,"Gabba",-3,2016,"Regular",6
14839,2016-05-01,"R6","Carlton",10,12,72,"Essendon",8,9,57,"M.C.G.",15,2016,"Regular",6
14840,2016-05-01,"R6","West Coast",18,16,124,"Collingwood",9,8,62,"Subiaco",62,2016,"Regular",6
14841,2016-05-06,"R7","Richmond",13,12,90,"Hawthorn",21,10,136,"M.C.G.",-46,2016,"Regular",7
14842,2016-05-07,"R7","Collingwood",12,12,84,"Carlton",15,9,99,"M.C.G.",-15,2016,"Regular",7
14843,2016-05-07,"R7","Geelong",18,15,123,"West Coast",12,7,79,"Kardinia Park",44,2016,"Regular",7
14844,2016-05-07,"R7","Sydney",20,15,135,"Essendon",7,12,54,"S.C.G.",81,2016,"Regular",7
14845,2016-05-07,"R7","Gold Coast",14,3,87,"Melbourne",24,16,160,"Carrara",-73,2016,"Regular",7
14846,2016-05-07,"R7","Footscray",18,15,123,"Adelaide",17,6,108,"Docklands",15,2016,"Regular",7
14847,2016-05-07,"R7","Fremantle",11,11,77,"GWS",14,11,95,"Subiaco",-18,2016,"Regular",7
14848,2016-05-08,"R7","St Kilda",11,9,75,"North Melbourne",11,16,82,"Docklands",-7,2016,"Regular",7
14849,2016-05-08,"R7","Port Adelaide",21,10,136,"Brisbane Lions",7,17,59,"Adelaide Oval",77,2016,"Regular",7
14850,2016-05-13,"R8","Adelaide",11,6,72,"Geelong",13,20,98,"Adelaide Oval",-26,2016,"Regular",8
14851,2016-05-14,"R8","Essendon",8,12,60,"North Melbourne",10,14,74,"Docklands",-14,2016,"Regular",8
14852,2016-05-14,"R8","Hawthorn",17,14,116,"Fremantle",11,9,75,"York Park",41,2016,"Regular",8
14853,2016-05-14,"R8","GWS",22,17,149,"Gold Coast",9,4,58,"Sydney Showground",91,2016,"Regular",8
14854,2016-05-14,"R8","Brisbane Lions",10,5,65,"Collingwood",20,23,143,"Gabba",-78,2016,"Regular",8
14855,2016-05-14,"R8","Richmond",14,17,101,"Sydney",15,10,100,"M.C.G.",1,2016,"Regular",8
14856,2016-05-15,"R8","Carlton",14,9,93,"Port Adelaide",13,13,91,"Docklands",2,2016,"Regular",8
14857,2016-05-15,"R8","Melbourne",12,10,82,"Footscray",17,12,114,"M.C.G.",-32,2016,"Regular",8
14858,2016-05-15,"R8","West Coast",20,12,132,"St Kilda",3,11,29,"Subiaco",103,2016,"Regular",8
14859,2016-05-20,"R9","Hawthorn",7,13,55,"Sydney",10,9,69,"M.C.G.",-14,2016,"Regular",9
14860,2016-05-21,"R9","Collingwood",16,8,104,"Geelong",11,14,80,"M.C.G.",24,2016,"Regular",9
14861,2016-05-21,"R9","Gold Coast",11,8,74,"Adelaide",22,17,149,"Carrara",-75,2016,"Regular",9
14862,2016-05-21,"R9","Port Adelaide",13,8,86,"West Coast",14,10,94,"Adelaide Oval",-8,2016,"Regular",9
14863,2016-05-21,"R9","North Melbourne",17,11,113,"Carlton",6,10,46,"Docklands",67,2016,"Regular",9
14864,2016-05-21,"R9","Fremantle",6,9,45,"Richmond",11,17,83,"Subiaco",-38,2016,"Regular",9
14865,2016-05-22,"R9","Melbourne",19,17,131,"Brisbane Lions",9,14,68,"M.C.G.",63,2016,"Regular",9
14866,2016-05-22,"R9","GWS",15,8,98,"Footscray",10,13,73,"Sydney Showground",25,2016,"Regular",9
14867,2016-05-22,"R9","St Kilda",16,13,109,"Essendon",9,9,63,"Docklands",46,2016,"Regular",9
14868,2016-05-27,"R10","Sydney",14,7,91,"North Melbourne",9,11,65,"S.C.G.",26,2016,"Regular",10
14869,2016-05-28,"R10","Brisbane Lions",13,9,87,"Hawthorn",21,9,135,"Gabba",-48,2016,"Regular",10
14870,2016-05-28,"R10","Melbourne",10,16,76,"Port Adelaide",18,13,121,"Traeger Park",-45,2016,"Regular",10
14871,2016-05-28,"R10","St Kilda",15,11,101,"Fremantle",10,7,67,"Docklands",34,2016,"Regular",10
14872,2016-05-28,"R10","Essendon",10,7,67,"Richmond",16,9,105,"M.C.G.",-38,2016,"Regular",10
14873,2016-05-28,"R10","Adelaide",15,17,107,"GWS",13,7,85,"Adelaide Oval",22,2016,"Regular",10
14874,2016-05-29,"R10","Carlton",16,8,104,"Geelong",12,13,85,"Docklands",19,2016,"Regular",10
14875,2016-05-29,"R10","Collingwood",7,11,53,"Footscray",11,8,74,"M.C.G.",-21,2016,"Regular",10
14876,2016-05-29,"R10","West Coast",20,12,132,"Gold Coast",7,13,55,"Subiaco",77,2016,"Regular",10
14877,2016-06-03,"R11","North Melbourne",18,16,124,"Richmond",7,12,54,"Bellerive Oval",70,2016,"Regular",11
